rownames	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	geneid	species
Ssus11-ACTB	0	1.16	0.642	0.248	0	0	Ssus11-ACTB	ACTB	Suss11
Ssus11-TIMP1	0	1.36	0.97	0.686	0	0	Ssus11-TIMP1	TIMP1	Suss11
Ssus11-RPS18	0	0.65	0.998	0.973	0	0	Ssus11-RPS18	RPS18	Suss11
Ssus11-TNXB	0	-1.01	0.047	0.46	0	0	Ssus11-TNXB	TNXB	Suss11
Ssus11-TMSB10	0	0.58	1	1	0	0	Ssus11-TMSB10	TMSB10	Suss11
Ssus11-ACTG1	0	0.63	1	0.979	0	0	Ssus11-ACTG1	ACTG1	Suss11
Ssus11-TPM4	0	0.76	0.985	0.75	0	0	Ssus11-TPM4	TPM4	Suss11
Ssus11-TUBA1B	0	0.66	0.999	0.952	0	0	Ssus11-TUBA1B	TUBA1B	Suss11
Ssus11-GSN	0	-1.03	0.966	0.954	0	0	Ssus11-GSN	GSN	Suss11
Ssus11-HSPG2	0	-0.8	0.983	0.961	0	0	Ssus11-HSPG2	HSPG2	Suss11
Ssus11-TMSB4X	0	0.53	1	0.995	0	0	Ssus11-TMSB4X	TMSB4X	Suss11
Ssus11-CST3	0	-0.75	0.997	0.995	0	0	Ssus11-CST3	CST3	Suss11
Ssus11-PER1	0	-0.64	0.08	0.435	0	0	Ssus11-PER1	PER1	Suss11
Ssus11-RPS20	0	0.42	1	0.998	0	0	Ssus11-RPS20	RPS20	Suss11
Ssus11-CILP	0	-0.96	0.063	0.409	0	0	Ssus11-CILP	CILP	Suss11
Ssus11-MYL3	0	-1.28	0.016	0.326	0	0	Ssus11-MYL3	MYL3	Suss11
Ssus11-GAS6	0	-0.52	0.067	0.412	0	0	Ssus11-GAS6	GAS6	Suss11
Ssus11-ENSSSCG00000032480	0	-0.67	0.066	0.407	0	0	Ssus11-ENSSSCG00000032480	ENSSSCG00000032480	Suss11
Ssus11-NUPR1	0	-0.67	0.084	0.428	0	0	Ssus11-NUPR1	NUPR1	Suss11
Ssus11-GADD45G	0	-0.65	0.042	0.36	0	0	Ssus11-GADD45G	GADD45G	Suss11
Ssus11-FBLN1	0	-1.23	0.708	0.744	0	0	Ssus11-FBLN1	FBLN1	Suss11
Ssus11-ENSSSCG00000032599	0	0.74	0.433	0.198	0	0	Ssus11-ENSSSCG00000032599	ENSSSCG00000032599	Suss11
Ssus11-FBLN5	0	-0.51	0.09	0.434	0	0	Ssus11-FBLN5	FBLN5	Suss11
Ssus11-ENSSSCG00000039825	0	-0.75	0.023	0.314	0	0	Ssus11-ENSSSCG00000039825	ENSSSCG00000039825	Suss11
Ssus11-ENSSSCG00000033734	0	0.63	0.804	0.551	0	0	Ssus11-ENSSSCG00000033734	ENSSSCG00000033734	Suss11
Ssus11-MGP	0	-0.94	0.996	0.995	0	0	Ssus11-MGP	MGP	Suss11
Ssus11-FTL	0	0.43	1	0.998	0	0	Ssus11-FTL	FTL	Suss11
Ssus11-TINAGL1	0	-0.65	0.167	0.489	0	0	Ssus11-TINAGL1	TINAGL1	Suss11
Ssus11-CPT1B	0	-0.58	0.105	0.43	0	0	Ssus11-CPT1B	CPT1B	Suss11
Ssus11-LDB3	0	-0.76	0.023	0.308	0	0	Ssus11-LDB3	LDB3	Suss11
Ssus11-MYH7B	0	-0.63	0.02	0.304	0	0	Ssus11-MYH7B	MYH7B	Suss11
Ssus11-CSTB	0	0.33	0.997	0.773	0	0	Ssus11-CSTB	CSTB	Suss11
Ssus11-RAMP1	0	-0.64	0.073	0.387	0	0	Ssus11-RAMP1	RAMP1	Suss11
Ssus11-ENO1	0	0.62	0.962	0.757	0	0	Ssus11-ENO1	ENO1	Suss11
Ssus11-EEF1A2	0	-1.09	0.093	0.381	0	0	Ssus11-EEF1A2	EEF1A2	Suss11
Ssus11-TNNT1	0	-0.83	0.037	0.324	0	0	Ssus11-TNNT1	TNNT1	Suss11
Ssus11-S100A11	0	0.5	0.998	0.908	0	0	Ssus11-S100A11	S100A11	Suss11
Ssus11-CASQ2	0	-0.76	0.055	0.35	0	0	Ssus11-CASQ2	CASQ2	Suss11
Ssus11-RPLP2	0	0.38	1	0.992	0	0	Ssus11-RPLP2	RPLP2	Suss11
Ssus11-TSC22D3	0	-0.62	0.087	0.395	0	0	Ssus11-TSC22D3	TSC22D3	Suss11
Ssus11-MATN4	0	-0.78	0.079	0.388	0	0	Ssus11-MATN4	MATN4	Suss11
Ssus11-THBS4	0	-1.18	0.948	0.915	0	0	Ssus11-THBS4	THBS4	Suss11
Ssus11-TNNI3	0	-0.74	0.012	0.279	0	0	Ssus11-TNNI3	TNNI3	Suss11
Ssus11-CKMT2	0	-0.92	0.022	0.294	0	0	Ssus11-CKMT2	CKMT2	Suss11
Ssus11-LMOD2	0	-0.71	0.035	0.314	0	0	Ssus11-LMOD2	LMOD2	Suss11
Ssus11-ENSSSCG00000037274	0	0.56	0.993	0.891	0	0	Ssus11-ENSSSCG00000037274	ENSSSCG00000037274	Suss11
Ssus11-ENSSSCG00000031608	0	-0.76	0.023	0.294	0	0	Ssus11-ENSSSCG00000031608	ENSSSCG00000031608	Suss11
Ssus11-ENSSSCG00000013366	0	0.65	0.705	0.474	0	0	Ssus11-ENSSSCG00000013366	ENSSSCG00000013366	Suss11
Ssus11-ENSSSCG00000015747	0	-0.79	0.012	0.276	0	0	Ssus11-ENSSSCG00000015747	ENSSSCG00000015747	Suss11
Ssus11-GCK	0	-1.03	0.053	0.339	0	0	Ssus11-GCK	GCK	Suss11
Ssus11-ENSSSCG00000004578	0	0.56	0.993	0.827	0	0	Ssus11-ENSSSCG00000004578	ENSSSCG00000004578	Suss11
GRCh38-TPM1	0	-1.78	0.05	0.329	0	0	GRCh38-TPM1	TPM1	GRCh38
Ssus11-PGAM2	0	-0.57	0.04	0.314	0	0	Ssus11-PGAM2	PGAM2	Suss11
Ssus11-PDK4	0	-0.5	0.012	0.268	0	0	Ssus11-PDK4	PDK4	Suss11
Ssus11-MFAP5	0	-0.48	0.078	0.376	0	0	Ssus11-MFAP5	MFAP5	Suss11
Ssus11-MFAP4	0	-0.75	0.805	0.835	0	0	Ssus11-MFAP4	MFAP4	Suss11
Ssus11-ALDOA	0	-0.52	0.132	0.443	0	0	Ssus11-ALDOA	ALDOA	Suss11
Ssus11-PYGB	0	-0.7	0.036	0.302	0	0	Ssus11-PYGB	PYGB	Suss11
Ssus11-CTSS	0	0.47	0.871	0.561	0	0	Ssus11-CTSS	CTSS	Suss11
Ssus11-ENSSSCG00000003839	0	-0.55	0.128	0.44	0	0	Ssus11-ENSSSCG00000003839	ENSSSCG00000003839	Suss11
Ssus11-OGN	0	-0.59	0.11	0.424	0	0	Ssus11-OGN	OGN	Suss11
Ssus11-GADD45B	0	-0.53	0.134	0.442	0	0	Ssus11-GADD45B	GADD45B	Suss11
GRCh38-MYH7	0	-1.97	0.048	0.312	0	0	GRCh38-MYH7	MYH7	GRCh38
Ssus11-RRAD	0	-0.63	0.088	0.384	0	0	Ssus11-RRAD	RRAD	Suss11
Ssus11-PRDX1	0	0.56	0.931	0.68	0	0	Ssus11-PRDX1	PRDX1	Suss11
Ssus11-TSC22D1	0	-0.59	0.192	0.491	0	0	Ssus11-TSC22D1	TSC22D1	Suss11
Ssus11-SORBS2	0	-0.57	0.066	0.348	0	0	Ssus11-SORBS2	SORBS2	Suss11
Ssus11-PDLIM5	0	-0.68	0.128	0.421	0	0	Ssus11-PDLIM5	PDLIM5	Suss11
Ssus11-YPEL3	0	-0.46	0.141	0.457	0	0	Ssus11-YPEL3	YPEL3	Suss11
Ssus11-MXRA8	0	-0.49	0.14	0.455	0	0	Ssus11-MXRA8	MXRA8	Suss11
Ssus11-COQ8A	0	-0.42	0.038	0.305	0	0	Ssus11-COQ8A	COQ8A	Suss11
Ssus11-SRL	0	-0.59	0.032	0.292	0	0	Ssus11-SRL	SRL	Suss11
Ssus11-ENSSSCG00000006928	0	-0.45	0.158	0.48	0	0	Ssus11-ENSSSCG00000006928	ENSSSCG00000006928	Suss11
Ssus11-DNAJB4	0	-0.47	0.061	0.338	0	0	Ssus11-DNAJB4	DNAJB4	Suss11
Ssus11-PTP4A3	0	-0.55	0.047	0.312	0	0	Ssus11-PTP4A3	PTP4A3	Suss11
Ssus11-NRAP	0	-0.57	0.027	0.281	0	0	Ssus11-NRAP	NRAP	Suss11
Ssus11-CLSTN1	0	-0.42	0.106	0.401	0	0	Ssus11-CLSTN1	CLSTN1	Suss11
Ssus11-NDRG2	0	-0.42	0.065	0.343	0	0	Ssus11-NDRG2	NDRG2	Suss11
Ssus11-AOPEP	0	-0.46	0.145	0.455	0	0	Ssus11-AOPEP	AOPEP	Suss11
Ssus11-SLC12A7	0	-0.46	0.121	0.417	0	0	Ssus11-SLC12A7	SLC12A7	Suss11
Ssus11-HSPB8	0	-0.69	0.028	0.281	0	0	Ssus11-HSPB8	HSPB8	Suss11
Ssus11-ENSSSCG00000040118	0	-0.51	0.932	0.922	0	0	Ssus11-ENSSSCG00000040118	ENSSSCG00000040118	Suss11
Ssus11-PFKM	0	-0.6	0.048	0.309	0	0	Ssus11-PFKM	PFKM	Suss11
GRCh38-TNNC1	0	-1.49	0.034	0.286	0	0	GRCh38-TNNC1	TNNC1	GRCh38
Ssus11-ITGA7	0	-0.62	0.194	0.494	0	0	Ssus11-ITGA7	ITGA7	Suss11
Ssus11-PHLDB1	0	-0.45	0.161	0.471	0	0	Ssus11-PHLDB1	PHLDB1	Suss11
Ssus11-NEBL	0	-0.93	0.128	0.394	0	0	Ssus11-NEBL	NEBL	Suss11
Ssus11-SPTAN1	0	-0.4	0.139	0.449	0	0	Ssus11-SPTAN1	SPTAN1	Suss11
Ssus11-TXNIP	0	-0.61	0.162	0.471	0	0	Ssus11-TXNIP	TXNIP	Suss11
Ssus11-ENSSSCG00000005453	0	0.51	0.942	0.715	0	0	Ssus11-ENSSSCG00000005453	ENSSSCG00000005453	Suss11
GRCh38-MYL3	0	-1.56	0.027	0.272	0	0	GRCh38-MYL3	MYL3	GRCh38
Ssus11-C11orf1	0	-0.47	0.056	0.324	0	0	Ssus11-C11orf1	C11orf1	Suss11
Ssus11-VIM	0	0.4	1	0.972	0	0	Ssus11-VIM	VIM	Suss11
Ssus11-NDUFA1	0	-0.56	0.127	0.414	0	0	Ssus11-NDUFA1	NDUFA1	Suss11
Ssus11-CLEC3B	0	-0.44	0.037	0.289	0	0	Ssus11-CLEC3B	CLEC3B	Suss11
Ssus11-ACTA2	0	0.35	0.974	0.716	0	0	Ssus11-ACTA2	ACTA2	Suss11
Ssus11-CDH13	0	-0.48	0.047	0.304	0	0	Ssus11-CDH13	CDH13	Suss11
Ssus11-ACADVL	0	-0.52	0.125	0.413	0	0	Ssus11-ACADVL	ACADVL	Suss11
Ssus11-NDUFB11	0	-0.47	0.167	0.474	0	0	Ssus11-NDUFB11	NDUFB11	Suss11
Ssus11-RPSA	0	0.42	0.999	0.984	0	0	Ssus11-RPSA	RPSA	Suss11
Ssus11-SFRP2	0	0.42	0.986	0.71	0	0	Ssus11-SFRP2	SFRP2	Suss11
Ssus11-MAPK12	0	-0.4	0.076	0.345	0	0	Ssus11-MAPK12	MAPK12	Suss11
Ssus11-DNAJB1	0	-0.47	0.106	0.389	0	0	Ssus11-DNAJB1	DNAJB1	Suss11
Ssus11-SH3BGR	0	-0.59	0.081	0.35	0	0	Ssus11-SH3BGR	SH3BGR	Suss11
Ssus11-TRIM63	0	-0.48	0.019	0.255	0	0	Ssus11-TRIM63	TRIM63	Suss11
Ssus11-DNAJA4	0	-0.47	0.014	0.247	0	0	Ssus11-DNAJA4	DNAJA4	Suss11
Ssus11-AQP1	0	-0.39	0.06	0.326	0	0	Ssus11-AQP1	AQP1	Suss11
Ssus11-FLNC	0	-0.83	0.208	0.46	0	0	Ssus11-FLNC	FLNC	Suss11
Ssus11-ITIH5	0	-0.4	0.066	0.334	0	0	Ssus11-ITIH5	ITIH5	Suss11
Ssus11-CAMK2D	0	-0.5	0.109	0.387	0	0	Ssus11-CAMK2D	CAMK2D	Suss11
Ssus11-S100A6	0	0.43	0.992	0.76	0	0	Ssus11-S100A6	S100A6	Suss11
Ssus11-PDE4DIP	0	-0.51	0.039	0.287	0	0	Ssus11-PDE4DIP	PDE4DIP	Suss11
Ssus11-MYOM1	0	-0.45	0.025	0.262	0	0	Ssus11-MYOM1	MYOM1	Suss11
Ssus11-CCN1	0	-0.51	0.137	0.427	0	0	Ssus11-CCN1	CCN1	Suss11
Ssus11-CTSB	0	0.4	0.998	0.881	0	0	Ssus11-CTSB	CTSB	Suss11
Ssus11-ENSSSCG00000007554	0	-0.53	0.05	0.301	0	0	Ssus11-ENSSSCG00000007554	ENSSSCG00000007554	Suss11
Ssus11-RPL27	0	0.48	0.993	0.931	0	0	Ssus11-RPL27	RPL27	Suss11
Ssus11-CAV3	0	-0.48	0.034	0.277	0	0	Ssus11-CAV3	CAV3	Suss11
Ssus11-SORBS1	0	-0.42	0.025	0.261	0	0	Ssus11-SORBS1	SORBS1	Suss11
Ssus11-TIMP3	0	-0.42	0.092	0.367	0	0	Ssus11-TIMP3	TIMP3	Suss11
Ssus11-LAPTM4B	0	-0.41	0.172	0.482	0	0	Ssus11-LAPTM4B	LAPTM4B	Suss11
Ssus11-CRAT	0	-0.41	0.122	0.408	0	0	Ssus11-CRAT	CRAT	Suss11
Ssus11-UBB	0	-0.39	1	0.992	0	0	Ssus11-UBB	UBB	Suss11
Ssus11-COQ9	0	-0.38	0.066	0.321	0	0	Ssus11-COQ9	COQ9	Suss11
Ssus11-C4A	0	-0.5	0.044	0.288	0	0	Ssus11-C4A	C4A	Suss11
Ssus11-TSPAN12	0	-0.63	0.086	0.339	0	0	Ssus11-TSPAN12	TSPAN12	Suss11
Ssus11-CRY2	0	-0.35	0.029	0.261	0	0	Ssus11-CRY2	CRY2	Suss11
Ssus11-CCK	0	-0.67	0.038	0.274	0	0	Ssus11-CCK	CCK	Suss11
GRCh38-TNNT2	0	-1.42	0.021	0.245	0	0	GRCh38-TNNT2	TNNT2	GRCh38
GRCh38-MYL4	0	-1.44	0.029	0.258	0	0	GRCh38-MYL4	MYL4	GRCh38
GRCh38-TNNI1	0	-1.31	0.03	0.259	0	0	GRCh38-TNNI1	TNNI1	GRCh38
GRCh38-HSPB1	0	-1.7	0.016	0.237	0	0	GRCh38-HSPB1	HSPB1	GRCh38
Ssus11-DHRS4	0	-0.48	0.072	0.323	0	0	Ssus11-DHRS4	DHRS4	Suss11
Ssus11-NENF	0	-0.38	0.185	0.49	0	0	Ssus11-NENF	NENF	Suss11
Ssus11-LYNX1	0	-0.4	0.039	0.277	0	0	Ssus11-LYNX1	LYNX1	Suss11
Ssus11-MYOT	0	-0.49	0.018	0.241	0	0	Ssus11-MYOT	MYOT	Suss11
Ssus11-ACOT13	0	-0.41	0.047	0.286	0	0	Ssus11-ACOT13	ACOT13	Suss11
Ssus11-S100A1	0	-0.82	0.181	0.431	0	0	Ssus11-S100A1	S100A1	Suss11
Ssus11-HOMER2	0	-0.52	0.039	0.272	0	0	Ssus11-HOMER2	HOMER2	Suss11
GRCh38-GAPDH	0	-1.61	0.038	0.267	0	0	GRCh38-GAPDH	GAPDH	GRCh38
Ssus11-GABARAPL1	0	-0.36	0.065	0.317	0	0	Ssus11-GABARAPL1	GABARAPL1	Suss11
Ssus11-SRGN	0	0.58	0.674	0.466	0	0	Ssus11-SRGN	SRGN	Suss11
Ssus11-C7	0	-0.42	0.04	0.273	0	0	Ssus11-C7	C7	Suss11
Ssus11-HADHB	0	-0.61	0.153	0.42	0	0	Ssus11-HADHB	HADHB	Suss11
Ssus11-ENSSSCG00000009303	0	0.36	0.999	0.988	0	0	Ssus11-ENSSSCG00000009303	ENSSSCG00000009303	Suss11
Ssus11-ENSSSCG00000033457	0	0.58	0.585	0.371	0	0	Ssus11-ENSSSCG00000033457	ENSSSCG00000033457	Suss11
Ssus11-CDC34	0	-0.4	0.179	0.473	0	0	Ssus11-CDC34	CDC34	Suss11
Ssus11-CLIC5	0	-0.39	0.022	0.241	0	0	Ssus11-CLIC5	CLIC5	Suss11
GRCh38-NPPA	0	-1.41	0.008	0.215	0	0	GRCh38-NPPA	NPPA	GRCh38
Ssus11-CTSF	0	-0.45	0.268	0.544	0	0	Ssus11-CTSF	CTSF	Suss11
Ssus11-DPT	0	-0.55	0.288	0.541	0	0	Ssus11-DPT	DPT	Suss11
Ssus11-ABRA	0	-0.43	0.005	0.208	0	0	Ssus11-ABRA	ABRA	Suss11
Ssus11-ASB2	0	-0.41	0.012	0.22	0	0	Ssus11-ASB2	ASB2	Suss11
Ssus11-CALM1	0	0.53	0.939	0.781	0	0	Ssus11-CALM1	CALM1	Suss11
Ssus11-TLE5	0	-0.36	0.107	0.372	0	0	Ssus11-TLE5	TLE5	Suss11
Ssus11-SEC61B	0	0.5	0.832	0.621	0	0	Ssus11-SEC61B	SEC61B	Suss11
Ssus11-GOT1	0	-0.45	0.044	0.272	0	0	Ssus11-GOT1	GOT1	Suss11
Ssus11-LGMN	0	0.45	0.961	0.719	0	0	Ssus11-LGMN	LGMN	Suss11
Ssus11-ENSSSCG00000038991	0	-0.34	0.166	0.462	0	0	Ssus11-ENSSSCG00000038991	ENSSSCG00000038991	Suss11
GRCh38-RPLP1	0	-1.31	0.027	0.241	0	0	GRCh38-RPLP1	RPLP1	GRCh38
Ssus11-RCAN1	0	-0.42	0.051	0.28	0	0	Ssus11-RCAN1	RCAN1	Suss11
Ssus11-RUSC2	0	-0.35	0.051	0.282	0	0	Ssus11-RUSC2	RUSC2	Suss11
GRCh38-MYL6	0	-1.11	0.028	0.241	0	0	GRCh38-MYL6	MYL6	GRCh38
Ssus11-NDUFA11	0	-0.42	0.191	0.478	0	0	Ssus11-NDUFA11	NDUFA11	Suss11
Ssus11-ENSSSCG00000031838	0	0.31	1	0.998	0	0	Ssus11-ENSSSCG00000031838	ENSSSCG00000031838	Suss11
Ssus11-ANKRD39	0	-0.38	0.121	0.38	0	0	Ssus11-ANKRD39	ANKRD39	Suss11
GRCh38-MT-CO3	0	-1.48	0.051	0.274	0	0	GRCh38-MT-CO3	MT-CO3	GRCh38
Ssus11-LGALS1	0	0.3	1	0.988	0	0	Ssus11-LGALS1	LGALS1	Suss11
Ssus11-IFI30	0	0.37	0.825	0.527	0	0	Ssus11-IFI30	IFI30	Suss11
Ssus11-CMYA5	0	-0.4	0.025	0.239	0	0	Ssus11-CMYA5	CMYA5	Suss11
Ssus11-RNASE4	0	-0.35	0.123	0.394	0	0	Ssus11-RNASE4	RNASE4	Suss11
Ssus11-ENSSSCG00000025525	0	-0.36	0.125	0.387	0	0	Ssus11-ENSSSCG00000025525	ENSSSCG00000025525	Suss11
Ssus11-ENSSSCG00000010893	0	-0.39	0.082	0.326	0	0	Ssus11-ENSSSCG00000010893	ENSSSCG00000010893	Suss11
GRCh38-RPL41	0	-1.45	0.029	0.237	0	0	GRCh38-RPL41	RPL41	GRCh38
Ssus11-ENSSSCG00000033019	0	0.41	0.998	0.967	0	0	Ssus11-ENSSSCG00000033019	ENSSSCG00000033019	Suss11
Ssus11-BTBD2	0	-0.36	0.166	0.443	0	0	Ssus11-BTBD2	BTBD2	Suss11
GRCh38-MT-CO2	0	-1.72	0.049	0.268	0	0	GRCh38-MT-CO2	MT-CO2	GRCh38
Ssus11-SMPX	0	-0.55	0.059	0.286	0	0	Ssus11-SMPX	SMPX	Suss11
Ssus11-MCRIP2	0	-0.4	0.054	0.278	0	0	Ssus11-MCRIP2	MCRIP2	Suss11
Ssus11-SELENOW	0	-0.36	0.187	0.475	0	0	Ssus11-SELENOW	SELENOW	Suss11
Ssus11-RBPMS	0	-0.36	0.12	0.375	0	0	Ssus11-RBPMS	RBPMS	Suss11
Ssus11-NDUFV1	0	-0.37	0.195	0.483	0	0	Ssus11-NDUFV1	NDUFV1	Suss11
Ssus11-FHL2	0	-0.43	0.186	0.461	0	0	Ssus11-FHL2	FHL2	Suss11
Ssus11-NDUFA10	0	-0.37	0.148	0.413	0	0	Ssus11-NDUFA10	NDUFA10	Suss11
Ssus11-ADI1	0	-0.33	0.124	0.383	0	0	Ssus11-ADI1	ADI1	Suss11
Ssus11-H2AJ	0	-0.34	0.135	0.401	0	0	Ssus11-H2AJ	H2AJ	Suss11
Ssus11-AK1	0	-0.38	0.03	0.24	0	0	Ssus11-AK1	AK1	Suss11
Ssus11-CDH2	0	-0.39	0.039	0.255	0	0	Ssus11-CDH2	CDH2	Suss11
Ssus11-PINK1	0	-0.33	0.072	0.306	0	0	Ssus11-PINK1	PINK1	Suss11
Ssus11-CLTB	0	-0.35	0.198	0.483	0	0	Ssus11-CLTB	CLTB	Suss11
Ssus11-LTBP2	0	-0.45	0.056	0.278	0	0	Ssus11-LTBP2	LTBP2	Suss11
Ssus11-FKBP4	0	-0.54	0.226	0.48	0	0	Ssus11-FKBP4	FKBP4	Suss11
Ssus11-FBXO32	0	-0.32	0.073	0.31	0	0	Ssus11-FBXO32	FBXO32	Suss11
Ssus11-PLSCR4	0	-0.39	0.058	0.281	0	0	Ssus11-PLSCR4	PLSCR4	Suss11
Ssus11-ENSSSCG00000025582	0	-0.34	0.141	0.403	0	0	Ssus11-ENSSSCG00000025582	ENSSSCG00000025582	Suss11
Ssus11-FAP	0	-0.36	0.163	0.439	0	0	Ssus11-FAP	FAP	Suss11
Ssus11-NDRG4	0	-0.37	0.025	0.229	0	0	Ssus11-NDRG4	NDRG4	Suss11
Ssus11-LTBP4	0	-0.79	0.553	0.638	0	0	Ssus11-LTBP4	LTBP4	Suss11
Ssus11-NDUFAB1	0	-0.43	0.162	0.428	0	0	Ssus11-NDUFAB1	NDUFAB1	Suss11
Ssus11-CD36	0	-0.38	0.098	0.345	0	0	Ssus11-CD36	CD36	Suss11
Ssus11-ENSSSCG00000032503	0	-0.46	0.005	0.192	0	0	Ssus11-ENSSSCG00000032503	ENSSSCG00000032503	Suss11
Ssus11-GNB2	0	-0.33	0.121	0.374	0	0	Ssus11-GNB2	GNB2	Suss11
Ssus11-TOLLIP	0	-0.33	0.137	0.396	0	0	Ssus11-TOLLIP	TOLLIP	Suss11
Ssus11-HERPUD1	0	-0.39	0.192	0.47	0	0	Ssus11-HERPUD1	HERPUD1	Suss11
GRCh38-ACTC1	0	-1.71	0.054	0.267	0	0	GRCh38-ACTC1	ACTC1	GRCh38
Ssus11-LIMS2	0	-0.34	0.099	0.343	0	0	Ssus11-LIMS2	LIMS2	Suss11
Ssus11-PPFIBP1	0	-0.34	0.126	0.381	0	0	Ssus11-PPFIBP1	PPFIBP1	Suss11
Ssus11-PDLIM1	0	-0.34	0.079	0.308	0	0	Ssus11-PDLIM1	PDLIM1	Suss11
Ssus11-ATP5F1D	0	-0.34	0.126	0.377	0	0	Ssus11-ATP5F1D	ATP5F1D	Suss11
Ssus11-QSOX1	0	-0.33	0.087	0.323	0	0	Ssus11-QSOX1	QSOX1	Suss11
Ssus11-MATN2	0	-0.38	0.07	0.295	0	0	Ssus11-MATN2	MATN2	Suss11
GRCh38-RPL10	0	-0.99	0.014	0.203	0	0	GRCh38-RPL10	RPL10	GRCh38
Ssus11-DVL1	0	-0.32	0.088	0.321	0	0	Ssus11-DVL1	DVL1	Suss11
Ssus11-MFAP2	0	-0.4	0.201	0.477	0	0	Ssus11-MFAP2	MFAP2	Suss11
Ssus11-NDUFS4	0	-0.4	0.19	0.461	0	0	Ssus11-NDUFS4	NDUFS4	Suss11
Ssus11-ENSSSCG00000035811	0	0.33	1	0.988	0	0	Ssus11-ENSSSCG00000035811	ENSSSCG00000035811	Suss11
Ssus11-FGL2	0	-0.34	0.094	0.332	0	0	Ssus11-FGL2	FGL2	Suss11
Ssus11-PAM	0	-0.48	0.266	0.517	0	0	Ssus11-PAM	PAM	Suss11
Ssus11-KIF1C	0	-0.31	0.098	0.341	0	0	Ssus11-KIF1C	KIF1C	Suss11
GRCh38-MT-ND4	0	-1.34	0.04	0.242	0	0	GRCh38-MT-ND4	MT-ND4	GRCh38
Ssus11-ENSSSCG00000020686	0	-0.46	0.225	0.481	0	0	Ssus11-ENSSSCG00000020686	ENSSSCG00000020686	Suss11
Ssus11-ANKRD10	0	-0.31	0.079	0.31	0	0	Ssus11-ANKRD10	ANKRD10	Suss11
Ssus11-FXR2	0	-0.31	0.065	0.286	0	0	Ssus11-FXR2	FXR2	Suss11
Ssus11-KLHDC3	0	-0.31	0.129	0.38	0	0	Ssus11-KLHDC3	KLHDC3	Suss11
GRCh38-CRYAB	0	-1.49	0.007	0.189	0	0	GRCh38-CRYAB	CRYAB	GRCh38
Ssus11-RYR2	0	-0.35	0.017	0.208	0	0	Ssus11-RYR2	RYR2	Suss11
Ssus11-UBAC1	0	-0.31	0.178	0.452	0	0	Ssus11-UBAC1	UBAC1	Suss11
Ssus11-FRZB	0	-0.45	0.067	0.285	0	0	Ssus11-FRZB	FRZB	Suss11
Ssus11-ZFAND5	0	-0.35	0.189	0.464	0	0	Ssus11-ZFAND5	ZFAND5	Suss11
Ssus11-RPS11	0	0.32	1	0.987	0	0	Ssus11-RPS11	RPS11	Suss11
Ssus11-MLIP	0	-0.33	0.017	0.207	0	0	Ssus11-MLIP	MLIP	Suss11
Ssus11-CAMK2A	0	-0.36	0.008	0.189	0	0	Ssus11-CAMK2A	CAMK2A	Suss11
Ssus11-KLF2	0	-0.38	0.128	0.375	0	0	Ssus11-KLF2	KLF2	Suss11
Ssus11-SMARCD3	0	-0.31	0.098	0.332	0	0	Ssus11-SMARCD3	SMARCD3	Suss11
Ssus11-NEXN	0	-0.38	0.103	0.342	0	0	Ssus11-NEXN	NEXN	Suss11
Ssus11-EPN2	0	-0.3	0.053	0.263	0	0	Ssus11-EPN2	EPN2	Suss11
Ssus11-GPC3	0	-0.31	0.035	0.235	0	0	Ssus11-GPC3	GPC3	Suss11
Ssus11-CITED1	0	-0.31	0.006	0.184	0	0	Ssus11-CITED1	CITED1	Suss11
GRCh38-MYL9	0	-0.9	0.013	0.195	0	0	GRCh38-MYL9	MYL9	GRCh38
Ssus11-UBE2B	0	-0.33	0.114	0.352	0	0	Ssus11-UBE2B	UBE2B	Suss11
Ssus11-CCL14	0	-0.3	0.075	0.301	0	0	Ssus11-CCL14	CCL14	Suss11
Ssus11-SLC9A3R2	0	-0.36	0.118	0.358	0	0	Ssus11-SLC9A3R2	SLC9A3R2	Suss11
GRCh38-UBC	0	-1.12	0.002	0.176	0	0	GRCh38-UBC	UBC	GRCh38
Ssus11-ENSSSCG00000004387	0	-0.34	0.076	0.297	0	0	Ssus11-ENSSSCG00000004387	ENSSSCG00000004387	Suss11
Ssus11-DKK3	0	-0.41	0.199	0.467	0	0	Ssus11-DKK3	DKK3	Suss11
Ssus11-ANXA1	0	0.39	0.85	0.606	0	0	Ssus11-ANXA1	ANXA1	Suss11
Ssus11-ARID5B	0	-0.37	0.089	0.313	0	0	Ssus11-ARID5B	ARID5B	Suss11
Ssus11-ENSSSCG00000016737	0	0.38	1	0.97	0	0	Ssus11-ENSSSCG00000016737	ENSSSCG00000016737	Suss11
Ssus11-FITM1	0	-0.31	0.005	0.18	0	0	Ssus11-FITM1	FITM1	Suss11
Ssus11-NUMA1	0	-0.33	0.171	0.433	0	0	Ssus11-NUMA1	NUMA1	Suss11
GRCh38-RPS15	0	-0.82	0.012	0.192	0	0	GRCh38-RPS15	RPS15	GRCh38
Ssus11-ENSSSCG00000028794	0	-0.3	0.089	0.315	0	0	Ssus11-ENSSSCG00000028794	ENSSSCG00000028794	Suss11
Ssus11-PPP1R12B	0	-0.3	0.03	0.223	0	0	Ssus11-PPP1R12B	PPP1R12B	Suss11
