rownames	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	geneid	species
GRCh38-SAFB	0	0.26	0.19	0.009	0	10	GRCh38-SAFB	SAFB	GRCh38
GRCh38-NELFE	0	0.27	0.215	0.012	0	10	GRCh38-NELFE	NELFE	GRCh38
GRCh38-DPP7	0	0.27	0.205	0.011	0	10	GRCh38-DPP7	DPP7	GRCh38
GRCh38-CUEDC2	0	0.31	0.233	0.015	0	10	GRCh38-CUEDC2	CUEDC2	GRCh38
GRCh38-HSPH1.8	0	0.29	0.532	0.081	0	10	GRCh38-HSPH1	HSPH1	GRCh38
GRCh38-DENND5B	0	0.28	0.199	0.01	0	10	GRCh38-DENND5B	DENND5B	GRCh38
GRCh38-CALM1.1	0	0.52	0.423	0.053	0	10	GRCh38-CALM1	CALM1	GRCh38
GRCh38-RER1	0	0.26	0.19	0.009	0	10	GRCh38-RER1	RER1	GRCh38
GRCh38-H2AJ	0	0.27	0.208	0.011	0	10	GRCh38-H2AJ	H2AJ	GRCh38
GRCh38-GSPT1	0	0.25	0.187	0.009	0	10	GRCh38-GSPT1	GSPT1	GRCh38
GRCh38-NME3	0	0.27	0.199	0.01	0	10	GRCh38-NME3	NME3	GRCh38
GRCh38-CHID1	0	0.25	0.19	0.009	0	10	GRCh38-CHID1	CHID1	GRCh38
GRCh38-TALDO1	0	0.25	0.196	0.01	0	10	GRCh38-TALDO1	TALDO1	GRCh38
GRCh38-BMP7.1	0	0.29	0.211	0.012	0	10	GRCh38-BMP7	BMP7	GRCh38
GRCh38-SDHD.1	0	0.27	0.205	0.011	0	10	GRCh38-SDHD	SDHD	GRCh38
GRCh38-LGALS1.1	0	0.63	0.477	0.066	0	10	GRCh38-LGALS1	LGALS1	GRCh38
GRCh38-SRSF11.1	0	0.36	0.284	0.023	0	10	GRCh38-SRSF11	SRSF11	GRCh38
GRCh38-SMG5	0	0.26	0.181	0.008	0	10	GRCh38-SMG5	SMG5	GRCh38
GRCh38-PABPC1.1	0	0.82	0.671	0.144	0	10	GRCh38-PABPC1	PABPC1	GRCh38
GRCh38-H3-3A.6	0	1.59	0.9	0.364	0	10	GRCh38-H3-3A	H3-3A	GRCh38
GRCh38-PDIA4.1	0	0.27	0.215	0.012	0	10	GRCh38-PDIA4	PDIA4	GRCh38
GRCh38-AHSA1.1	0	0.36	0.305	0.027	0	10	GRCh38-AHSA1	AHSA1	GRCh38
GRCh38-PCNP.1	0	0.29	0.215	0.013	0	10	GRCh38-PCNP	PCNP	GRCh38
GRCh38-ELP5	0	0.26	0.196	0.01	0	10	GRCh38-ELP5	ELP5	GRCh38
GRCh38-NARF	0	0.26	0.196	0.01	0	10	GRCh38-NARF	NARF	GRCh38
GRCh38-RPAIN	0	0.25	0.19	0.01	0	10	GRCh38-RPAIN	RPAIN	GRCh38
GRCh38-TARDBP	0	0.26	0.196	0.01	0	10	GRCh38-TARDBP	TARDBP	GRCh38
GRCh38-USP28	0	0.27	0.19	0.01	0	10	GRCh38-USP28	USP28	GRCh38
GRCh38-PSMC4	0	0.27	0.19	0.01	0	10	GRCh38-PSMC4	PSMC4	GRCh38
GRCh38-MSRB3	0	0.26	0.193	0.01	0	10	GRCh38-MSRB3	MSRB3	GRCh38
GRCh38-RBM24.4	0	0.86	0.568	0.104	0	10	GRCh38-RBM24	RBM24	GRCh38
GRCh38-ACAT1	0	0.26	0.19	0.01	0	10	GRCh38-ACAT1	ACAT1	GRCh38
GRCh38-CUX1	0	0.29	0.227	0.015	0	10	GRCh38-CUX1	CUX1	GRCh38
GRCh38-ARMCX3.1	0	0.26	0.208	0.012	0	10	GRCh38-ARMCX3	ARMCX3	GRCh38
GRCh38-RCAN2.1	0	0.29	0.218	0.014	0	10	GRCh38-RCAN2	RCAN2	GRCh38
GRCh38-FKBP10.1	0	0.27	0.218	0.014	0	10	GRCh38-FKBP10	FKBP10	GRCh38
GRCh38-RUVBL2	0	0.28	0.215	0.013	0	10	GRCh38-RUVBL2	RUVBL2	GRCh38
GRCh38-NOP56.1	0	0.26	0.205	0.012	0	10	GRCh38-NOP56	NOP56	GRCh38
GRCh38-NPNT	0	0.26	0.193	0.01	0	10	GRCh38-NPNT	NPNT	GRCh38
GRCh38-FHL1.1	0	0.34	0.26	0.02	0	10	GRCh38-FHL1	FHL1	GRCh38
GRCh38-COL1A2.6	0	0.97	0.574	0.105	0	10	GRCh38-COL1A2	COL1A2	GRCh38
GRCh38-KIDINS220.1	0	0.27	0.211	0.013	0	10	GRCh38-KIDINS220	KIDINS220	GRCh38
GRCh38-PHLDB2.1	0	0.33	0.227	0.015	0	10	GRCh38-PHLDB2	PHLDB2	GRCh38
GRCh38-NSA2.1	0	0.26	0.199	0.011	0	10	GRCh38-NSA2	NSA2	GRCh38
GRCh38-UBXN1	0	0.28	0.199	0.011	0	10	GRCh38-UBXN1	UBXN1	GRCh38
GRCh38-MGAT5.1	0	0.28	0.218	0.014	0	10	GRCh38-MGAT5	MGAT5	GRCh38
GRCh38-YARS1.1	0	0.26	0.196	0.011	0	10	GRCh38-YARS1	YARS1	GRCh38
GRCh38-HMGA2.1	0	0.29	0.215	0.014	0	10	GRCh38-HMGA2	HMGA2	GRCh38
GRCh38-EFEMP2.1	0	0.27	0.211	0.013	0	10	GRCh38-EFEMP2	EFEMP2	GRCh38
GRCh38-CDK2AP2.1	0	0.32	0.242	0.018	0	10	GRCh38-CDK2AP2	CDK2AP2	GRCh38
GRCh38-NUTF2	0	0.28	0.205	0.012	0	10	GRCh38-NUTF2	NUTF2	GRCh38
GRCh38-BCAT2	0	0.27	0.19	0.01	0	10	GRCh38-BCAT2	BCAT2	GRCh38
GRCh38-NENF.1	0	0.3	0.23	0.016	0	10	GRCh38-NENF	NENF	GRCh38
GRCh38-XPO1	0	0.32	0.239	0.018	0	10	GRCh38-XPO1	XPO1	GRCh38
GRCh38-MCRS1	0	0.26	0.193	0.011	0	10	GRCh38-MCRS1	MCRS1	GRCh38
GRCh38-ISG15	0	0.35	0.175	0.009	0	10	GRCh38-ISG15	ISG15	GRCh38
GRCh38-ACTN4.1	0	0.28	0.202	0.012	0	10	GRCh38-ACTN4	ACTN4	GRCh38
GRCh38-RBM20.1	0	0.28	0.205	0.013	0	10	GRCh38-RBM20	RBM20	GRCh38
GRCh38-HERPUD1.1	0	0.27	0.227	0.016	0	10	GRCh38-HERPUD1	HERPUD1	GRCh38
GRCh38-COL16A1.1	0	0.32	0.227	0.016	0	10	GRCh38-COL16A1	COL16A1	GRCh38
GRCh38-RPRD1B	0	0.31	0.227	0.016	0	10	GRCh38-RPRD1B	RPRD1B	GRCh38
GRCh38-PLEKHO1.1	0	0.3	0.221	0.015	0	10	GRCh38-PLEKHO1	PLEKHO1	GRCh38
GRCh38-HSPB6.1	0	0.29	0.218	0.015	0	10	GRCh38-HSPB6	HSPB6	GRCh38
GRCh38-DST.1	0	0.31	0.233	0.017	0	10	GRCh38-DST	DST	GRCh38
GRCh38-ANXA5.1	0	0.31	0.257	0.021	0	10	GRCh38-ANXA5	ANXA5	GRCh38
