p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Ssus11-IMMT.4	8.60702959659784e-78	-0.544738053182695	0.097	0.433	1.0385241911255e-73	5	Ssus11-IMMT
Ssus11-PTP4A3.3	4.31262394929927e-77	-0.725394163012151	0.154	0.461	5.2036120572245e-73	5	Ssus11-PTP4A3
Ssus11-ENSSSCG00000037274.3	1.57735946398713e-76	0.609765849349497	0.967	0.784	1.90324192924687e-72	5	Ssus11-ENSSSCG00000037274
Ssus11-RPSA.4	9.61788249200877e-76	0.48647222337996	1	0.959	1.16049370148578e-71	5	Ssus11-RPSA
Ssus11-LTBP4.3	1.39805609314198e-75	-0.58600913107689	0.12	0.464	1.68689448198511e-71	5	Ssus11-LTBP4
Ssus11-SRL.5	1.85891260478117e-75	-0.656278212355173	0.071	0.381	2.24296394892896e-71	5	Ssus11-SRL
Ssus11-PFKM.4	2.38049070244241e-75	-0.661141170416511	0.083	0.4	2.87230008156701e-71	5	Ssus11-PFKM
Ssus11-HSD17B10.3	6.89222521550145e-75	-0.520892419185833	0.102	0.431	8.31615894502405e-71	5	Ssus11-HSD17B10
Ssus11-TNNI3.5	3.35407906519689e-74	-0.886351131537438	0.125	0.41	4.04703180006656e-70	5	Ssus11-TNNI3
Ssus11-ANKRD39.4	6.41851593485108e-74	-0.574111592608305	0.135	0.463	7.74458132699132e-70	5	Ssus11-ANKRD39
Ssus11-ASB2.4	2.77360020100316e-73	-0.559283344272355	0.027	0.316	3.34662600253041e-69	5	Ssus11-ASB2
Ssus11-SELENOW.4	3.08920440524085e-73	-0.483822075162291	0.124	0.462	3.72743403536361e-69	5	Ssus11-SELENOW
Ssus11-TINAGL1.4	4.09769754900248e-73	-0.599340461945057	0.125	0.454	4.94428186262639e-69	5	Ssus11-TINAGL1
Ssus11-MYOM1.4	6.93423419029689e-73	-0.567066109243152	0.056	0.357	8.36684697401223e-69	5	Ssus11-MYOM1
Ssus11-SFRP2.4	7.50809568289951e-73	0.482229349190085	0.98	0.649	9.05926825098655e-69	5	Ssus11-SFRP2
Ssus11-S100A11.5	1.54801388795655e-72	0.512099931465596	0.988	0.8	1.86783355720838e-68	5	Ssus11-S100A11
Ssus11-COQ9.4	3.9258017788002e-72	-0.528713901290576	0.074	0.379	4.73687242630032e-68	5	Ssus11-COQ9
Ssus11-SLC12A7.4	1.16132805124278e-71	-0.509307651802547	0.116	0.442	1.40125842662954e-67	5	Ssus11-SLC12A7
Ssus11-CS.4	5.98521511324222e-71	-0.53107985419456	0.111	0.437	7.22176055563806e-67	5	Ssus11-CS
Ssus11-MAPK12.4	9.95441053161218e-71	-0.497415158234841	0.075	0.382	1.20109917474433e-66	5	Ssus11-MAPK12
Ssus11-CAMK2D.4	7.8811668190509e-70	-0.565900185929945	0.112	0.43	9.50941588386682e-66	5	Ssus11-CAMK2D
Ssus11-ENSSSCG00000000405.4	2.14999109767684e-69	-0.821336875444781	0.975	0.94	2.59417925845687e-65	5	Ssus11-ENSSSCG00000000405
Ssus11-ECSIT.5	2.24367652247479e-69	-0.477464112680742	0.076	0.378	2.70722009201809e-65	5	Ssus11-ECSIT
Ssus11-RPL37.1	2.56556174414993e-69	0.378101811212778	1	0.999	3.0956068004913e-65	5	Ssus11-RPL37
Ssus11-ASPN.4	2.9455092992186e-68	0.652939691958843	0.774	0.582	3.55405152043716e-64	5	Ssus11-ASPN
Ssus11-POSTN.4	8.26028102930506e-67	0.489534990943826	0.978	0.74	9.96685508995948e-63	5	Ssus11-POSTN
Ssus11-TNXB.2	1.4835896158818e-66	-0.646660948947894	0.064	0.351	1.79009923052299e-62	5	Ssus11-TNXB
Ssus11-LMOD2.5	1.83794964940909e-66	-0.683499031344096	0.122	0.413	2.217670046977e-62	5	Ssus11-LMOD2
Ssus11-RPL36A-HNRNPH2.3	3.2817339494988e-66	0.559935652688242	0.974	0.863	3.95974018346525e-62	5	Ssus11-RPL36A-HNRNPH2
Ssus11-MCRIP2.5	5.03477848346189e-66	-0.497397667336034	0.063	0.349	6.07496371814512e-62	5	Ssus11-MCRIP2
Ssus11-HADH.3	9.76195816579386e-66	-0.458483534781477	0.119	0.432	1.17787787228469e-61	5	Ssus11-HADH
Ssus11-COQ8A.4	1.05284955940036e-65	-0.488522833585573	0.066	0.356	1.27036827837247e-61	5	Ssus11-COQ8A
Ssus11-NDUFS2.3	1.08853895341798e-65	-0.464013973200933	0.134	0.457	1.31343110119414e-61	5	Ssus11-NDUFS2
GRCh38-TPM1.3	1.29531088454967e-65	-0.745789853775359	0.034	0.304	1.56292211329763e-61	5	GRCh38-TPM1
Ssus11-ENSSSCG00000040118.4	1.30969676145619e-65	-0.523884539750125	0.969	0.962	1.58028011237304e-61	5	Ssus11-ENSSSCG00000040118
Ssus11-PYGM.3	7.46977444598378e-65	-0.481545533402871	0.094	0.394	9.01302984652402e-61	5	Ssus11-PYGM
Ssus11-NDUFA9.4	1.34340500179642e-63	-0.442785966278026	0.093	0.391	1.62095247516756e-59	5	Ssus11-NDUFA9
Ssus11-GOT1.4	1.8152215301864e-63	-0.512459160040735	0.058	0.335	2.19024629832291e-59	5	Ssus11-GOT1
Ssus11-CMYA5.5	5.69076025249381e-63	-0.583219305997695	0.064	0.342	6.86647132065903e-59	5	Ssus11-CMYA5
Ssus11-RPS21.4	1.25048910845733e-62	0.372138759450171	1	0.999	1.50884015826462e-58	5	Ssus11-RPS21
Ssus11-TSPAN12.4	1.35073291202498e-62	-0.523719010061735	0.085	0.366	1.62979433164934e-58	5	Ssus11-TSPAN12
Ssus11-DHRS4.5	1.38215992775004e-62	-0.739812252960632	0.202	0.459	1.6677141688232e-58	5	Ssus11-DHRS4
Ssus11-RPL15.4	2.72134882246137e-62	0.446215389871015	1	0.982	3.28357948918189e-58	5	Ssus11-RPL15
Ssus11-COX7A1.4	5.00841935327046e-62	-1.82525123841425	0.932	0.794	6.04315879165613e-58	5	Ssus11-COX7A1
Ssus11-MYH7.5	1.55949933331154e-61	-2.44572616425021	0.987	0.843	1.8816918955737e-57	5	Ssus11-MYH7
Ssus11-UQCRC2.4	1.26462839151401e-60	-0.475907009449203	0.09	0.371	1.52590061720081e-56	5	Ssus11-UQCRC2
Ssus11-CLIC5.4	2.63270867343376e-60	-0.456778572933417	0.046	0.307	3.17662628536518e-56	5	Ssus11-CLIC5
Ssus11-MYH7B.4	3.86102522567116e-60	-0.471655668689958	0.047	0.308	4.65871303729482e-56	5	Ssus11-MYH7B
Ssus11-PABPC1.2	5.53139030997398e-60	0.512779432929929	0.358	0.169	6.6741755480146e-56	5	Ssus11-PABPC1
Ssus11-PDHA1.3	6.57702158310891e-60	-0.453477065582266	0.126	0.427	7.93583424217921e-56	5	Ssus11-PDHA1
Ssus11-NMRK2.3	1.03053733134312e-59	-0.424036439261105	0.011	0.25	1.24344634399861e-55	5	Ssus11-NMRK2
Ssus11-NDUFAB1.4	1.03267294169018e-59	-0.472048147555883	0.158	0.46	1.24602317144337e-55	5	Ssus11-NDUFAB1
Ssus11-NDRG2.4	1.27383854827793e-59	-0.455011548600076	0.087	0.366	1.53701359235215e-55	5	Ssus11-NDRG2
Ssus11-ATP5MC1.5	2.40672032187825e-59	-0.695672444933686	0.948	0.909	2.9039487403783e-55	5	Ssus11-ATP5MC1
Ssus11-ENSSSCG00000006081.3	3.19575945103556e-59	0.401627367037055	1	0.992	3.8560033536195e-55	5	Ssus11-ENSSSCG00000006081
Ssus11-TNNT1.4	3.9248197525712e-59	-0.912453250372293	0.145	0.403	4.73568751345241e-55	5	Ssus11-TNNT1
Ssus11-C11orf1.5	3.9731337643572e-59	-0.491100040925285	0.089	0.366	4.79398320007339e-55	5	Ssus11-C11orf1
Ssus11-TUBA8.3	7.88453097237614e-59	-0.388818996190371	0.027	0.278	9.51347507126905e-55	5	Ssus11-TUBA8
Ssus11-GLRX5.2	8.13477772370621e-59	-0.396266424417678	0.041	0.295	9.81542280142391e-55	5	Ssus11-GLRX5
Ssus11-CRAT.4	1.25524679771673e-58	-0.431525141029778	0.133	0.431	1.51458078612501e-54	5	Ssus11-CRAT
Ssus11-COX5B.5	1.26864014089761e-58	-0.684668859232659	0.977	0.946	1.53074119400706e-54	5	Ssus11-COX5B
Ssus11-SAT1.5	1.77237856966295e-58	0.478455211557049	0.763	0.522	2.13855198215532e-54	5	Ssus11-SAT1
Ssus11-RPS5.4	1.79574732209921e-58	0.443337396498168	0.998	0.975	2.16674871884491e-54	5	Ssus11-RPS5
Ssus11-LYNX1.4	4.03321116006911e-58	-0.445418085611439	0.068	0.333	4.86647258573939e-54	5	Ssus11-LYNX1
Ssus11-FSTL1.4	5.79813763530862e-58	0.533891684979906	0.816	0.616	6.99603287076339e-54	5	Ssus11-FSTL1
Ssus11-AK1.4	7.754092889488e-58	-0.452516543440752	0.065	0.327	9.35608848045623e-54	5	Ssus11-AK1
Ssus11-PRMT1.1	1.77931925715907e-57	-0.370118158542345	0.081	0.356	2.14692661568813e-53	5	Ssus11-PRMT1
Ssus11-FITM1.3	2.01920626332307e-57	-0.407353275985459	0.013	0.247	2.43637427732561e-53	5	Ssus11-FITM1
Ssus11-PKD1.3	2.30715158988841e-57	-0.518933932538899	0.201	0.499	2.78380910835935e-53	5	Ssus11-PKD1
Ssus11-CCK.4	3.18971620536937e-57	-0.698586151408392	0.113	0.382	3.84871157339868e-53	5	Ssus11-CCK
Ssus11-NDUFB6.4	1.0421328337389e-56	-0.415464944638155	0.119	0.407	1.25743747718936e-52	5	Ssus11-NDUFB6
Ssus11-RPS15A.5	1.37404344772153e-56	0.362122904551525	1	0.996	1.65792082402079e-52	5	Ssus11-RPS15A
Ssus11-NDUFA6.4	2.03712003402094e-56	-0.407031892909811	0.09	0.366	2.45798903304967e-52	5	Ssus11-NDUFA6
Ssus11-SYNPO2L.4	2.39365275916512e-56	-0.479634839251033	0.072	0.333	2.88818141920864e-52	5	Ssus11-SYNPO2L
Ssus11-TYROBP.5	3.2023590124083e-56	0.372058648105168	0.911	0.596	3.86396638437186e-52	5	Ssus11-TYROBP
Ssus11-ENSSSCG00000012427.3	3.22211541244953e-56	0.419828658131978	1	0.987	3.8878044566616e-52	5	Ssus11-ENSSSCG00000012427
Ssus11-PDIA2.4	3.67707360060528e-56	-0.41581510464104	0.022	0.259	4.43675700649033e-52	5	Ssus11-PDIA2
Ssus11-MACROD1.3	4.50829032052975e-56	-0.410275326622944	0.033	0.274	5.4397031007512e-52	5	Ssus11-MACROD1
Ssus11-ACTA2.5	5.60038703650987e-56	0.354778050283948	0.895	0.613	6.75742699825281e-52	5	Ssus11-ACTA2
Ssus11-CTSB.5	1.87979683524087e-55	0.362077664842599	0.99	0.763	2.26816286140164e-51	5	Ssus11-CTSB
Ssus11-ENSSSCG00000013436.5	2.42731127729201e-55	-0.960054165175251	0.958	0.893	2.92879378718054e-51	5	Ssus11-ENSSSCG00000013436
Ssus11-POLDIP2.3	2.86222142795297e-55	-0.431867197794388	0.138	0.428	3.45355637496805e-51	5	Ssus11-POLDIP2
Ssus11-ENSSSCG00000036669.4	2.9471558982442e-55	-0.402096930576383	0.009	0.232	3.55603830682145e-51	5	Ssus11-ENSSSCG00000036669
Ssus11-ENSSSCG00000032480.4	3.62802547512031e-55	-0.618956143753982	0.12	0.391	4.37757553828016e-51	5	Ssus11-ENSSSCG00000032480
Ssus11-PTDSS1.5	5.72120897016503e-55	-0.45513640000269	0.108	0.38	6.90321074340113e-51	5	Ssus11-PTDSS1
Ssus11-LRRC39.3	1.14764432292704e-54	-0.383115806599683	0.012	0.235	1.38474764004377e-50	5	Ssus11-LRRC39
Ssus11-VDAC2.4	1.69057781045935e-54	-0.420889884524859	0.115	0.39	2.03985118610025e-50	5	Ssus11-VDAC2
Ssus11-GOT2.4	2.20892187106655e-54	-0.449952700624353	0.187	0.474	2.6652851296289e-50	5	Ssus11-GOT2
Ssus11-RPL3L.4	3.14180505413386e-54	-0.401711395848015	0.016	0.241	3.79090197831792e-50	5	Ssus11-RPL3L
Ssus11-PINK1.3	3.14556855222464e-54	-0.37279018274359	0.076	0.337	3.79544301511425e-50	5	Ssus11-PINK1
Ssus11-ENSSSCG00000032503.4	5.17292807730578e-54	-0.47310628523563	0.011	0.232	6.24165501807715e-50	5	Ssus11-ENSSSCG00000032503
Ssus11-ENSSSCG00000013889.4	6.38434416817071e-54	0.380040939604372	0.999	0.995	7.70334967331478e-50	5	Ssus11-ENSSSCG00000013889
Ssus11-ENSSSCG00000039825.4	8.70818998399094e-54	-0.739350726082326	0.265	0.472	1.05073020346835e-49	5	Ssus11-ENSSSCG00000039825
Ssus11-FBXO40.4	1.23548716545811e-53	-0.397674923635379	0.025	0.253	1.49073881384176e-49	5	Ssus11-FBXO40
Ssus11-ENSSSCG00000033310.4	2.01866868170245e-53	0.2940853980633	1	1	2.43572563134217e-49	5	Ssus11-ENSSSCG00000033310
Ssus11-ATP5F1D.2	2.92288410964216e-53	-0.36789725400469	0.097	0.362	3.52675196669422e-49	5	Ssus11-ATP5F1D
Ssus11-ENSSSCG00000009303.4	5.96319196623121e-53	0.369141451618817	1	0.994	7.19518742645457e-49	5	Ssus11-ENSSSCG00000009303
Ssus11-ACAA2.3	6.9486905120829e-53	-0.389167828559741	0.058	0.304	8.38428997187922e-49	5	Ssus11-ACAA2
Ssus11-ENSSSCG00000014540.5	7.68837290789479e-53	0.293748874079487	1	1	9.27679075066585e-49	5	Ssus11-ENSSSCG00000014540
Ssus11-ENSSSCG00000028794.2	1.56190090420701e-52	-0.372380440912398	0.087	0.347	1.88458963101618e-48	5	Ssus11-ENSSSCG00000028794
Ssus11-RPS6.3	1.98716223987794e-52	0.391869559361121	0.999	0.981	2.39770995863672e-48	5	Ssus11-RPS6
Ssus11-SORBS1.4	2.09050951696739e-52	-0.392008189415685	0.04	0.272	2.52240878317285e-48	5	Ssus11-SORBS1
Ssus11-PHYH.4	2.2159042791523e-52	-0.406342901761592	0.126	0.401	2.67371010322517e-48	5	Ssus11-PHYH
Ssus11-TRIM63.4	2.57968931200068e-52	-0.410448330243646	0.043	0.277	3.11265312386002e-48	5	Ssus11-TRIM63
Ssus11-PDE4DIP.4	2.58357241036188e-52	-0.433530396914285	0.086	0.341	3.11733847034264e-48	5	Ssus11-PDE4DIP
Ssus11-ITGA5.3	4.89818400451481e-52	-0.382139360325243	0.167	0.465	5.91014881984756e-48	5	Ssus11-ITGA5
Ssus11-LDB3.5	7.49829390042396e-52	-0.743864593745903	0.282	0.478	9.04744142025155e-48	5	Ssus11-LDB3
Ssus11-NDUFS3.2	9.78532261930578e-52	-0.366848960638249	0.125	0.401	1.18069702724544e-47	5	Ssus11-NDUFS3
Ssus11-MRPL28.2	1.66281800403539e-51	-0.360580107124697	0.05	0.285	2.0063562036691e-47	5	Ssus11-MRPL28
Ssus11-RYR2.4	5.39042782193069e-51	-0.391318636552322	0.041	0.271	6.50409020994157e-47	5	Ssus11-RYR2
Ssus11-IDH3B.2	5.75346831209165e-51	-0.354145561968964	0.079	0.329	6.94213486536978e-47	5	Ssus11-IDH3B
Ssus11-ATP5F1A.4	8.94409794057004e-51	-0.656399336226376	0.946	0.886	1.07919485750918e-46	5	Ssus11-ATP5F1A
Ssus11-COX17.4	1.22606719923995e-50	-0.414926116132821	0.119	0.385	1.47937268260292e-46	5	Ssus11-COX17
Ssus11-CKM.5	1.69034131864658e-50	-2.26536878678406	0.918	0.739	2.03956583507896e-46	5	Ssus11-CKM
Ssus11-RPL27.3	2.64009235650625e-50	0.46133894156871	0.99	0.949	3.18553543736044e-46	5	Ssus11-RPL27
Ssus11-ITM2B.3	3.93290234554293e-50	0.482922057151469	0.953	0.813	4.7454399701321e-46	5	Ssus11-ITM2B
Ssus11-CDH13.4	5.97918362546901e-50	-0.390461479089032	0.072	0.317	7.21448296249091e-46	5	Ssus11-CDH13
Ssus11-RPL18.4	6.07102739484529e-50	0.366893351108182	1	0.995	7.32530165462032e-46	5	Ssus11-RPL18
Ssus11-RPS23.5	6.51481602243776e-50	0.338285132063873	1	0.994	7.8607770126734e-46	5	Ssus11-RPS23
Ssus11-HRC.4	8.6025915400956e-50	-0.35334097770579	0.022	0.236	1.03798869522794e-45	5	Ssus11-HRC
Ssus11-THBS1.4	9.56095010643814e-50	0.674517567691989	0.636	0.473	1.15362423984283e-45	5	Ssus11-THBS1
Ssus11-NDUFA1.5	2.16145584725833e-49	-0.518665450708367	0.202	0.453	2.6080126253019e-45	5	Ssus11-NDUFA1
Ssus11-MRPL27	3.59809712317552e-49	-0.33215551977255	0.122	0.387	4.34146398882358e-45	5	Ssus11-MRPL27
GRCh38-MYL7.3	3.68803671352974e-49	-1.47565343436057	0.038	0.257	4.44998509854499e-45	5	GRCh38-MYL7
Ssus11-ACSL1.3	5.8494870214697e-49	-0.343963064669326	0.032	0.251	7.05799104010534e-45	5	Ssus11-ACSL1
Ssus11-UQCRC1.4	7.41828459670854e-49	-0.581328271242363	0.802	0.794	8.95090219438852e-45	5	Ssus11-UQCRC1
Ssus11-RPS3.5	9.17742282597715e-49	0.398543409782093	0.999	0.982	1.1073478381824e-44	5	Ssus11-RPS3
Ssus11-RPL22.2	1.93732853905795e-48	0.422134177752758	0.995	0.974	2.33758061522732e-44	5	Ssus11-RPL22
Ssus11-KIF1C.3	2.72801155481826e-48	-0.342698256337473	0.081	0.326	3.29161874204371e-44	5	Ssus11-KIF1C
Ssus11-LMF2.3	2.97134331405986e-48	-0.431589265802904	0.139	0.402	3.58522284274462e-44	5	Ssus11-LMF2
Ssus11-TCAP.5	3.20444308224676e-48	-1.49706635082564	0.899	0.743	3.86648102303895e-44	5	Ssus11-TCAP
Ssus11-PDLIM1.3	3.32740522542705e-48	-0.344527839103241	0.053	0.279	4.01484714500028e-44	5	Ssus11-PDLIM1
Ssus11-RPL28.4	4.75193375717417e-48	0.317692776311304	1	0.999	5.73368327140636e-44	5	Ssus11-RPL28
Ssus11-RRAS.3	7.16517858635261e-48	-0.362977833288246	0.175	0.456	8.64550448229306e-44	5	Ssus11-RRAS
Ssus11-RPS3A.3	7.46439813335924e-48	0.379555139705605	1	0.984	9.00654278771126e-44	5	Ssus11-RPS3A
Ssus11-HSPA9.3	8.37315377141112e-48	-0.354408235589477	0.151	0.423	1.01030473405847e-43	5	Ssus11-HSPA9
Ssus11-ALDH3A1.4	8.50927345794263e-48	-0.343904238196952	0.005	0.201	1.02672893543536e-43	5	Ssus11-ALDH3A1
Ssus11-SOD2.5	1.02045627017139e-47	-0.369812278076017	0.141	0.409	1.2312825355888e-43	5	Ssus11-SOD2
Ssus11-FH.2	1.03495261376781e-47	-0.338094481322276	0.097	0.345	1.24877382377224e-43	5	Ssus11-FH
Ssus11-DLD.3	1.06092163796202e-47	-0.371197604617932	0.089	0.328	1.28010804836497e-43	5	Ssus11-DLD
Ssus11-CST3.5	1.25219720520206e-47	0.269892033977716	1	0.95	1.51090114779681e-43	5	Ssus11-CST3
Ssus11-SAMM50.2	1.26692491297724e-47	-0.34118181122325	0.104	0.356	1.52867159999834e-43	5	Ssus11-SAMM50
Ssus11-ENSSSCG00000032573.4	1.34811766843571e-47	-0.341955984671033	0.032	0.244	1.62663877873452e-43	5	Ssus11-ENSSSCG00000032573
Ssus11-OPTN.4	1.91078774742021e-47	-0.3327854105215	0.087	0.332	2.30555649603723e-43	5	Ssus11-OPTN
Ssus11-TNNT2.5	1.9759155499549e-47	-1.57010601283263	0.967	0.803	2.38413970257558e-43	5	Ssus11-TNNT2
Ssus11-ENSSSCG00000024103.4	1.98311317447846e-47	-0.34316717486282	0.024	0.232	2.39282435632571e-43	5	Ssus11-ENSSSCG00000024103
Ssus11-SMTN.1	1.98772180180745e-47	-0.348678043997128	0.143	0.413	2.39838512606087e-43	5	Ssus11-SMTN
Ssus11-S100A10.4	2.72476380370618e-47	0.378266709684971	0.881	0.632	3.28770000555188e-43	5	Ssus11-S100A10
Ssus11-SDHC.3	4.16900505664491e-47	-0.357971730773148	0.142	0.406	5.03032150134775e-43	5	Ssus11-SDHC
Ssus11-RPS4X.2	5.58903009016274e-47	0.43900307942199	0.992	0.944	6.74372370679036e-43	5	Ssus11-RPS4X
Ssus11-ENSSSCG00000037142.4	5.65426313517295e-47	0.320668232682624	0.85	0.596	6.82243389889968e-43	5	Ssus11-ENSSSCG00000037142
Ssus11-BCAT2	8.01068953733807e-47	-0.313901623196016	0.125	0.384	9.66569799575211e-43	5	Ssus11-BCAT2
Ssus11-PSMC3	1.0412737765128e-46	-0.317627369683106	0.183	0.474	1.25640093874034e-42	5	Ssus11-PSMC3
Ssus11-TAGLN.4	1.18508133929019e-46	0.281535132558301	0.992	0.766	1.42991914398755e-42	5	Ssus11-TAGLN
Ssus11-CHCHD10.4	1.95216067576388e-46	-1.14556721361014	0.923	0.809	2.3554770713767e-42	5	Ssus11-CHCHD10
Ssus11-PAM16.2	2.47988314795415e-46	-0.324564166648368	0.067	0.297	2.99222700632148e-42	5	Ssus11-PAM16
Ssus11-NDUFS1.4	3.18846395860989e-46	-0.352880002844766	0.079	0.316	3.84720061245869e-42	5	Ssus11-NDUFS1
Ssus11-SLC41A1.3	3.80263448924654e-46	-0.336084849709459	0.032	0.239	4.58825877472487e-42	5	Ssus11-SLC41A1
Ssus11-S100A6.5	3.85156876731557e-46	0.304958422965199	0.954	0.651	4.64730287464297e-42	5	Ssus11-S100A6
Ssus11-PRDX3.3	4.45436622566962e-46	-0.32545438518275	0.082	0.321	5.37463828789296e-42	5	Ssus11-PRDX3
Ssus11-FN1.4	6.65937192943518e-46	0.361227707036556	0.999	0.782	8.03519817005649e-42	5	Ssus11-FN1
Ssus11-RILPL1.3	7.98765886378855e-46	-0.326978817030436	0.049	0.265	9.63790918504726e-42	5	Ssus11-RILPL1
Ssus11-ITGB1BP2.4	8.78113232603615e-46	-0.360956094085857	0.03	0.233	1.05953142645952e-41	5	Ssus11-ITGB1BP2
Ssus11-ECI2.2	8.84640175982155e-46	-0.305433587773472	0.067	0.295	1.06740683634007e-41	5	Ssus11-ECI2
Ssus11-ENSSSCG00000004578.5	1.07310416203363e-45	0.347509588813389	0.957	0.688	1.29480748190978e-41	5	Ssus11-ENSSSCG00000004578
Ssus11-COMP.5	1.18171313618381e-45	-0.883820614502403	0.015	0.209	1.42585507011938e-41	5	Ssus11-COMP
Ssus11-MYL2.5	1.358775618114e-45	-2.3589887742445	0.986	0.825	1.63949866081636e-41	5	Ssus11-MYL2
Ssus11-ENSSSCG00000040273.3	1.36002080087844e-45	0.321985651526422	1	0.996	1.64100109833992e-41	5	Ssus11-ENSSSCG00000040273
Ssus11-SUCLG1.4	1.36506234191119e-45	-0.389092697428904	0.124	0.374	1.64708422175005e-41	5	Ssus11-SUCLG1
Ssus11-IDH3G.1	1.42227168131123e-45	-0.307303576758181	0.1	0.347	1.71611301067014e-41	5	Ssus11-IDH3G
Ssus11-RPS11.2	1.48015301871507e-45	0.317750854215655	1	0.998	1.7859526323816e-41	5	Ssus11-RPS11
Ssus11-ENTPD6.3	1.6783133510905e-45	-0.315067074773289	0.021	0.22	2.0250528894258e-41	5	Ssus11-ENTPD6
Ssus11-ENSSSCG00000011272.5	2.66916723076688e-45	0.35446645873685	0.998	0.973	3.22061718064332e-41	5	Ssus11-ENSSSCG00000011272
Ssus11-AIFM1.2	2.84319547919055e-45	-0.312421529647475	0.044	0.257	3.43059966519132e-41	5	Ssus11-AIFM1
Ssus11-NCEH1.3	4.3528251042525e-45	-0.342527984352163	0.097	0.338	5.25211877079106e-41	5	Ssus11-NCEH1
Ssus11-FUNDC2.1	4.54939718638365e-45	-0.330691955066369	0.171	0.445	5.48930264509051e-41	5	Ssus11-FUNDC2
Ssus11-ABCD1.2	4.76754563456183e-45	-0.319845304770711	0.071	0.299	5.7525205626623e-41	5	Ssus11-ABCD1
Ssus11-TMEM52B.3	6.05302069566206e-45	-0.330232234739815	0.023	0.221	7.30357477138584e-41	5	Ssus11-TMEM52B
Ssus11-YBX1.2	7.57344641927146e-45	0.483980166502936	0.945	0.794	9.13812044949295e-41	5	Ssus11-YBX1
Ssus11-DHRS11.5	1.11864784550962e-44	-0.330121297831681	0.077	0.304	1.34976049039191e-40	5	Ssus11-DHRS11
Ssus11-GAS6.3	1.16066802983755e-44	-0.331487994047287	0.115	0.363	1.40046204480199e-40	5	Ssus11-GAS6
Ssus11-NUDCD3	1.38941364052189e-44	-0.330349681182548	0.109	0.353	1.67646649865372e-40	5	Ssus11-NUDCD3
Ssus11-TNNC1.5	1.65399874275695e-44	-1.86944272710227	0.969	0.807	1.99571488301054e-40	5	Ssus11-TNNC1
Ssus11-CPT1B.4	1.93274388809614e-44	-0.50910436953718	0.292	0.506	2.3320487753768e-40	5	Ssus11-CPT1B
Ssus11-ENSSSCG00000033734.5	2.05596790126124e-44	0.541907743969744	0.652	0.495	2.48073086966182e-40	5	Ssus11-ENSSSCG00000033734
Ssus11-COX7C.5	2.13009493424889e-44	-0.744465589994994	0.997	0.963	2.57017254766471e-40	5	Ssus11-COX7C
Ssus11-ENSSSCG00000039183.4	2.25993307458782e-44	-0.31116593912882	0.023	0.219	2.72683524779766e-40	5	Ssus11-ENSSSCG00000039183
Ssus11-ENSSSCG00000032916.3	2.38248946622982e-44	-0.306031272644236	0.149	0.415	2.87471178995291e-40	5	Ssus11-ENSSSCG00000032916
Ssus11-GPT.1	2.39605541470482e-44	-0.305195709268699	0.067	0.291	2.89108046338283e-40	5	Ssus11-GPT
Ssus11-ENSSSCG00000014569.4	2.41755047822659e-44	0.312054212187409	1	0.998	2.91701640702821e-40	5	Ssus11-ENSSSCG00000014569
Ssus11-IDH3A.3	4.66009714205758e-44	-0.350554379862953	0.102	0.339	5.62287321160668e-40	5	Ssus11-IDH3A
Ssus11-PPP1R3C.3	7.84796953045025e-44	-0.321487507519235	0.038	0.243	9.46936003544127e-40	5	Ssus11-PPP1R3C
Ssus11-ENSSSCG00000034019.5	8.25056900023775e-44	-0.560700114837311	0.959	0.933	9.95513655568687e-40	5	Ssus11-ENSSSCG00000034019
Ssus11-PLOD1.3	9.43001818660263e-44	-0.373223981540915	0.154	0.408	1.13782599439547e-39	5	Ssus11-PLOD1
Ssus11-MYBPC3.4	1.02030440352569e-43	-1.34900430603317	0.841	0.706	1.23109929329409e-39	5	Ssus11-MYBPC3
Ssus11-ND4L.4	1.0213534315376e-43	-0.444227077710969	0.057	0.268	1.23236505049327e-39	5	Ssus11-ND4L
Ssus11-ACOT13.4	1.15666916894814e-43	-0.337184198026157	0.068	0.288	1.39563701925283e-39	5	Ssus11-ACOT13
Ssus11-SORBS2.4	1.16976955114574e-43	-0.394692040522759	0.138	0.389	1.41144394041246e-39	5	Ssus11-SORBS2
Ssus11-SLMAP.4	1.24412048358478e-43	-0.361070769821935	0.097	0.328	1.50115577549339e-39	5	Ssus11-SLMAP
Ssus11-COX6A2.5	3.06320120907529e-43	-1.43433596201707	0.889	0.74	3.69605857887024e-39	5	Ssus11-COX6A2
Ssus11-SLC25A4.5	3.51868953746403e-43	-1.45708967413416	0.889	0.73	4.2456507959041e-39	5	Ssus11-SLC25A4
Ssus11-CTSS.5	4.54102689523015e-43	0.443987347034336	0.606	0.403	5.4792030517847e-39	5	Ssus11-CTSS
Ssus11-ENSSSCG00000012895.2	6.18691373059895e-43	-0.303331290254641	0.02	0.208	7.4651301073407e-39	5	Ssus11-ENSSSCG00000012895
Ssus11-ENSSSCG00000037251.3	7.81372184561871e-43	-0.310329521639829	0.077	0.303	9.42803677892353e-39	5	Ssus11-ENSSSCG00000037251
Ssus11-UBE2M	7.9550949446321e-43	-0.302824283463879	0.209	0.493	9.59861756019309e-39	5	Ssus11-UBE2M
